organism,scientific_name,lat,lon,year,locality,county,elev_m,gbifID,basisOfRecord,source_name,source_url
American pika,Ochotona princeps,38.953615,-106.298786,2026,,,,6422544369,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422544369
American pika,Ochotona princeps,39.309269,-106.171621,2026,,,,6422575718,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422575718
American pika,Ochotona princeps,39.970238,-105.793229,2026,,,,6422751742,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422751742
American pika,Ochotona princeps,40.412511,-105.733466,2026,,,,6422805540,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422805540
American pika,Ochotona princeps,40.432636,-105.76868,2026,,,,6422878392,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422878392
American pika,Ochotona princeps,39.582765,-105.668615,2026,,,,6422973393,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422973393
American pika,Ochotona princeps,39.601688,-105.739041,2026,,,,6423026586,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6423026586
American pika,Ochotona princeps,37.795275,-107.549504,2026,,,,6423101008,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6423101008
American pika,Ochotona princeps,40.412346,-105.733313,2026,,,,6423183595,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6423183595
American pika,Ochotona princeps,39.035781,-106.998367,2026,,,,6430759361,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6430759361
American pika,Ochotona princeps,38.845946,-106.318731,2026,,,,6431342899,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6431342899
American pika,Ochotona princeps,40.161245,-105.585725,2026,,,,6431785453,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6431785453
American pika,Ochotona princeps,39.411028,-106.133408,2026,,,,6431026870,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6431026870
American pika,Ochotona princeps,39.006017,-106.861215,2026,,,,6431268061,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6431268061
American pika,Ochotona princeps,40.098875,-105.616391,2026,,,,6431273024,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6431273024
American pika,Ochotona princeps,40.411989,-105.733253,2026,,,,6431464331,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6431464331
American pika,Ochotona princeps,40.447205,-105.75412,2026,,,,6431553348,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6431553348
American pika,Ochotona princeps,39.675322,-105.860603,2026,,,,6431574920,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6431574920
American pika,Ochotona princeps,39.032593,-107.070339,2026,,,,6431831319,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6431831319
American pika,Ochotona princeps,37.87328,-107.739678,2025,,,,5154050972,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5154050972
American pika,Ochotona princeps,39.660801,-105.881494,2025,,,,5166983388,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5166983388
American pika,Ochotona princeps,40.402226,-105.66838,2025,,,,5167062166,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5167062166
American pika,Ochotona princeps,40.419567,-105.749324,2025,,,,5167889199,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5167889199
American pika,Ochotona princeps,39.090183,-106.960648,2025,,,,5168026180,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5168026180
