"lter_site","plot","easting_original","northing_original","mdcaty","panel_original","panel_current","easting_final","northing_final","replaced_by","moved_dist_field","moved_dist_lab"
"NWT","NWT-268",449105,4434938.595,"LowElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-269",445530,4434873.616,"HighElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-270",447571,4434646.632,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-271",447790,4433792.999,"LowElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-272",449971,4433930.625,"HighElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-273",446648,4434012.206,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-274",446031,4432904.892,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-275",448968,4432956.496,"LowElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-276",448732,4434902.371,"LowElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-277",445724,4434474.206,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-278",447670,4434192.702,"HighElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-279",448450,4433444.273,"LowElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-280",450203,4432836.427,"LowElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-281",446222,4433612.872,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-282",446143,4434813.46,"LowElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-283",449183,4433824.122,"HighElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-284",449209,4435128.18,"LowElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-285",446194,4433298.25,"HighElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-286",447832,4434690.418,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-287",447512,4433555.967,"LowElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-288",450219,4435145.339,"LowElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-289",446884,4433960.906,"HighElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-290",445790,4433665.913,"HighElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-291",448242,4433388.187,"LowElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-292",449384,4434174.609,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-293",446756,4434679.195,"HighElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-294",448353,4434083.483,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-295",449759,4435019.458,"LowElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-296",447390,4435531.644,"LowElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-297",446276,4435472.591,"LowElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-298",447046,4434367.322,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-299",448932,4433749.219,"HighElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-300",449769,4434854.916,"LowElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-301",447338,4434027.346,"HighElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-302",448269,4435184.9,"LowElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-303",447936,4433558.359,"LowElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-304",450265,4435483.876,"LowElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-305",446832,4432820.013,"HighElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-306",445629,4433634.069,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-307",448867,4432814.597,"LowElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-308",448897,4434673.326,"HighElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-309",447079,4435158.374,"LowElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-310",447509,4434914.322,"HighElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-311",448090,4433489.991,"LowElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-312",448664,4435405.315,"LowElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-313",446692,4433833.931,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-314",446455,4434772.741,"HighElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-315",449670,4432977.061,"LowElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-316",448893,4434754.227,"LowElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-317",445949,4435168.497,"HighElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-318",447827,4434064.233,"HighElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-319",448356,4434025.786,"HighElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-320",450242,4433230.467,"LowElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-321",447181,4433168.963,"HighElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-322",445701,4432811.406,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-323",448798,4433196.78,"LowElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-324",448726,4435234.335,"LowElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-325",446053,4434504.469,"HighElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-326",447656,4434320.111,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-327",447996,4433663.561,"LowElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-328",449822,4435485.493,"LowElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-329",446028,4435358.5,"HighElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-330",446126,4434965.973,"LowElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-331",449113,4433456.8,"LowElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-332",449572,4434962.654,"LowElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-333",446609,4433363.805,"HighElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-334",448476,4435025.209,"LowElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-335",447497,4434036.325,"HighElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-336",450143,4434126.849,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-337",446749,4433887.619,"HighElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-338",445993,4433512.815,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-339",448012,4433239.084,"LowElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-340",449362,4434309.096,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-341",446826,4435254.41,"LowElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-342",448556,4434460.168,"HighElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-343",447536,4433154.37,"HighElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-344",448554,4435421.064,"LowElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-345",446470,4435375.314,"LowElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-346",446201,4434061.039,"HighElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-347",448721,4433448.99,"LowElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-348",449735,4435004.753,"LowElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-349",447110,4433614.906,"HighElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-350",448486,4434712.029,"HighElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-351",447715,4433674.153,"LowElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-352",450233,4435428.249,"LowElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-353",447165,4433967.4,"HighElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-354",448082,4435218.949,"LowElevHighSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-355",448366,4433311.291,"LowElevLowSWELowProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-356",449641,4434407.803,"HighElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-357",447280,4434618.455,"HighElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-358",448017,4434589.204,"HighElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-359",449587,4435032.585,"LowElevHighSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
"NWT","NWT-360",447851,4435666.441,"LowElevLowSWEHighProb","OverSamp","OverSamp",NaN,NaN,NaN,NaN,NaN
