role,url
Boulder climate portal,https://psl.noaa.gov/boulder/
Boulder monthly temp normals,https://psl.noaa.gov/boulder/Boulder.mm.html
Colorado station data access,https://climate.colostate.edu/data_access_new.html
Estes Park climate (pika/montane),https://usclimatedata.com/climate/boulder/colorado/united-states/usco0130
Nunn/Pawnee climate (prairie dog),https://usclimatedata.com/climate/nunn/colorado/united-states/usco0657
Pika occupancy / biological data,https://pikapartners.org/data/
PRISM 1991-2020 annual precip normals (4km),https://prism.oregonstate.edu/normals/
PRISM 1991-2020 annual mean temp normals (4km),https://data.prism.oregonstate.edu/normals/us/4km/tmean/monthly/
USGS 3DEP elevation,https://www.usgs.gov/3d-elevation-program
