site_id,organism,location_type,label,lat,lon,elev_m,year,county,notes,source_name,source_url
NWT-020,American pika,survey_plot,Niwot plot NWT-020,40.06311,-105.589437,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-021,American pika,survey_plot,Niwot plot NWT-021,40.048413,-105.619287,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-022,American pika,survey_plot,Niwot plot NWT-022,40.047463,-105.634495,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-023,American pika,survey_plot,Niwot plot NWT-023,40.049274,-105.602402,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-024,American pika,survey_plot,Niwot plot NWT-024,40.055307,-105.601446,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-025,American pika,survey_plot,Niwot plot NWT-025,40.050555,-105.623738,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-026,American pika,survey_plot,Niwot plot NWT-026,40.063356,-105.602479,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-027,American pika,survey_plot,Niwot plot NWT-027,40.050302,-105.610805,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-028,American pika,survey_plot,Niwot plot NWT-028,40.069535,-105.584462,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-029,American pika,survey_plot,Niwot plot NWT-029,40.06017,-105.633933,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
